drug_name,num_prescriber,total_cost
LANTUS SOLOSTAR,101193,2147483647
HARVONI,5202,2147483647
CRESTOR,138153,2147483647
ADVAIR DISKUS,120003,2037755392
SPIRIVA,108318,1965532288
JANUVIA,94469,1909666944
REVLIMID,5449,1886779648
NEXIUM,107816,1760516608
LANTUS,87078,1622380416
LYRICA,103259,1526228864
XARELTO,76788,1296871296
ABILIFY,33467,1290997760
COPAXONE,5366,1235907456
ENBREL,6945,1226251648
RENVELA,14903,1167135488
ZETIA,79350,1054270272
LEVEMIR FLEXTOUCH,56820,1042091776
SYMBICORT,82315,1022518080
HUMIRA PEN,8123,1012772672
GLEEVEC,4493,985391168
SENSIPAR,14135,866538560
NAMENDA XR,48210,859854976
NOVOLOG FLEXPEN,44960,848837248
OXYCONTIN,39688,824158720
TECFIDERA,3154,792176512
ELIQUIS,45457,781988224
LEVOTHYROXINE SODIUM,226668,765077440
SOVALDI,1246,715154048
HYDROCODONE-ACETAMINOPHEN,274192,708897472
ATORVASTATIN CALCIUM,245665,700164544
DULOXETINE HCL,141381,685162112
RESTASIS,26743,676366912
ARIPIPRAZOLE,28058,637678912
TRUVADA,6568,637230720
ZYTIGA,3166,637156416
XTANDI,2765,604956800
INVEGA SUSTENNA,8236,603780352
METOPROLOL SUCCINATE,190412,589404032
NAMENDA,49409,534095584
ATRIPLA,5220,528890176
PROAIR HFA,167130,512151456
LATUDA,14334,500748000
VESICARE,49251,494076096
HUMALOG KWIKPEN U-100,28658,489965696
OXYCODONE-ACETAMINOPHEN,159456,488568544
SEROQUEL XR,20942,487068544
GABAPENTIN,248399,475418400
NOVOLOG,33583,452096992
IMBRUVICA,2193,445295840
PRADAXA,34556,440372928
OMEPRAZOLE,248309,437540064
LETAIRIS,1539,427119616
VICTOZA 3-PAK,17306,425000416
TAMSULOSIN HCL,156422,410733664
PRAVASTATIN SODIUM,169043,408340544
LUMIGAN,24971,402372640
EXELON,23328,398663936
POTASSIUM CHLORIDE,166376,396292576
TRADJENTA,29899,394694144
CELECOXIB,75477,387616768
PREZISTA,5119,383895328
LEVEMIR,28645,383339776
DEXILANT,40948,370554944
ISENTRESS,5240,367243648
JANUMET,29018,364948288
HUMALOG,30243,357653216
FENOFIBRATE,95860,348069568
COMBIVENT RESPIMAT,40350,342248544
RANEXA,23312,336032416
GILENYA,1629,327682816
BENICAR,44764,324298944
FORTEO,5158,323047424
INVOKANA,22612,316124032
TRACLEER,1414,310155872
TRAVATAN Z,26665,304139008
TARCEVA,2150,301248480
LIDOCAINE,28420,298018848
FENTANYL,61034,295686176
CLOBETASOL PROPIONATE,35203,293119168
HUMIRA,3032,292875968
MORPHINE SULFATE ER,55645,287798912
BYSTOLIC,50525,277319456
VALSARTAN,93234,275790208
HYDROXYCHLOROQUINE SULFATE,21912,271948416
NOVOLOG MIX 70-30 FLEXPEN,15055,269557280
H.P. ACTHAR,300,266197664
JAKAFI,1362,262593024
AMLODIPINE BESYLATE,247668,259496256
MYRBETRIQ,20460,258659968
DIVALPROEX SODIUM ER,39009,258236032
AVONEX PEN,2015,257658384
GAMMAGARD LIQUID,1010,257127488
SIMVASTATIN,218257,256908912
OMEGA-3 ACID ETHYL ESTERS,39518,253262864
OXYCODONE HCL,99958,252324704
VIMPAT,10214,251895936
LISINOPRIL,257418,248928752
AUBAGIO,1227,247741552
STRIBILD,2588,246401840
CREON,11054,244194736
RISPERDAL CONSTA,7693,238287392
AVONEX,2182,236227232
XIFAXAN,6703,233413376
PREMARIN,45276,230643552
INVEGA,7649,228815968
POMALYST,912,228198672
SYNTHROID,94163,228170544
RALOXIFENE HCL,38174,222866976
REYATAZ,4113,221994064
AFINITOR,1166,220634496
LOSARTAN POTASSIUM,199644,213655872
CLOPIDOGREL,177471,209582560
REBIF,1795,208723104
WELCHOL,17689,204714400
OPSUMIT,783,202972224
TIVICAY,2959,194038672
MULTAQ,11702,193593360
EPZICOM,3584,191125168
ESBRIET,958,190959856
TRIUMEQ,2093,189030848
ADCIRCA,1694,186742752
LINZESS,19873,186263840
COMBIGAN,19880,185459248
VOLTAREN,55065,181825392
AVODART,24479,178835984
BETASERON,1457,178421824
WARFARIN SODIUM,165914,178033728
BENICAR HCT,26987,176506928
QUETIAPINE FUMARATE,104478,175652240
TASIGNA,1228,175208528
METFORMIN HCL,202514,174483904
PANTOPRAZOLE SODIUM,187285,171809616
ONGLYZA,17846,171721088
SPRYCEL,1174,169052944
DONEPEZIL HCL,117198,168769376
AMITIZA,20651,167688720
IBRANCE,883,166944448
VYTORIN,22475,164734592
XENAZINE,741,160528400
METHOTREXATE,24613,158232464
AZILECT,6094,157907984
SUBOXONE,7453,157756336
NORVIR,6264,154523408
DULERA,18137,152743584
PREDNISOLONE ACETATE,21120,152005680
AMPYRA,2050,149492864
ALPHAGAN P,15474,148921184
COMPLERA,2162,148240352
FLUTICASONE PROPIONATE,175268,145823152
ZOSTAVAX,13883,142624832
ESOMEPRAZOLE MAGNESIUM,26222,141974688
MONTELUKAST SODIUM,136327,141039008
OFEV,793,139101888
FLOVENT HFA,24668,137210736
METOPROLOL TARTRATE,212226,137129120
SUBSYS,359,136848752
METFORMIN HCL ER,89335,135039424
FUROSEMIDE,228976,134435360
ULORIC,17591,134150784
EFFIENT,12031,133363112
ENOXAPARIN SODIUM,14894,132799528
XYREM,707,131941056
HUMALOG MIX 75-25 KWIKPEN,7912,131215216
ANDROGEL,8959,131087472
VIREAD,4771,130688336
OXYBUTYNIN CHLORIDE ER,68629,129873120
ORENCIA,1521,129870192
ALLOPURINOL,142552,129240032
